route_id,trip_id,service_id,direction_id,shape_id
15247,2105374,5,1,74180
15247,2105375,5,0,74179
15247,2105376,5,1,74180
15247,2105377,5,0,74179
15247,2105378,5,1,74180
15247,2105707,2,0,74181
15247,2105708,2,1,74180
15247,2105709,2,0,74179
15247,2105710,2,1,74180
15247,2105711,2,0,74179
15247,2105712,2,1,74180
15247,2105713,2,0,74179
15247,2105714,2,1,74180
15247,2105715,2,0,74179
15247,2105716,2,1,74180
15247,2105717,2,0,74179
15247,2105718,2,1,74180
15247,2105719,2,0,74179
15247,2105720,2,1,74180
15247,2105721,2,0,74179
15247,2105722,2,1,74180
15247,2105723,2,0,74179
15247,2105724,2,1,74180
15247,2105725,2,0,74179
15247,2105726,2,1,74180
15247,2105727,2,0,74179
15247,2105728,2,1,74180
15247,2105729,2,0,74179
15247,2105730,2,1,74180
15224,2105762,2,0,74206
15224,2105763,2,1,74208
15224,2105764,2,0,76646
15224,2105765,2,1,76647
15224,2105766,2,0,74206
15224,2105767,2,1,78215
15224,2105768,2,0,76646
15224,2105769,2,1,74208
15224,2105771,2,0,74206
15224,2105772,2,1,74208
15224,2105773,2,0,74206
15224,2105774,2,1,74208
15224,2105775,2,0,74206
15224,2105776,2,1,74208
15224,2105777,2,0,74206
15224,2105778,2,1,74208
15224,2105779,2,0,74206
15224,2105780,2,1,74208
15224,2105781,2,0,76646
15224,2105782,2,1,76647
15224,2105783,2,0,74206
15224,2105784,2,1,74208
15224,2105785,2,0,74206
15224,2105786,2,1,76647
15224,2105788,2,0,74206
15224,2105789,2,1,74208
15224,2105790,2,0,74206
15224,2105791,2,1,74208
15224,2105793,2,0,74206
15224,2105794,2,1,74208
15224,2105795,2,0,74206
15224,2105796,2,1,74208
15224,2105797,2,0,74206
15224,2105798,2,1,74208
15224,2105799,2,0,76646
15224,2105800,2,1,76647
15224,2105801,2,0,74206
15224,2105802,2,1,74208
15224,2110196,1,0,74206
15224,2110197,1,1,74208
15224,2110198,1,0,76646
15224,2110199,1,1,76647
